"","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5"
"Abudefduf_concolor",0.0969174600366232,-0.165350663793124,0.0732483793248278,-0.0422957018876386,0.133861521246334
"Abudefduf_declivifrons",0.0969174600366231,-0.165350663793125,0.073248379324828,-0.0422957018876379,0.133861521246333
"Abudefduf_troschelii",-0.0130250645716603,-0.246808792455521,0.164824145422091,0.174253061407248,-0.0889786737864566
"Acanthurus_nigricans",-0.0345302845960817,-0.229901141829139,0.0773377217651765,-0.00978039375933705,-0.0278606676628981
"Acanthurus_xanthopterus",-0.0738376728741121,-0.151008284233701,-0.0035175863753024,-0.158187197640557,0.142645870382441
"Alphestes_immaculatus",0.317002214532526,0.318464478646612,0.0724132927092176,-0.0489117691825905,-0.0763074132118686
"Aluterus_scriptus",-0.0613054009257782,-0.131425131373253,-0.230512793874538,-0.0435141097552114,-0.152139379877054
"Anisotremus_interruptus",-0.186807838260044,0.154558767883413,0.211858040345339,-0.143459727019789,-0.177737629188295
"Apogon_pacificus",0.0817860808329761,0.100389482841532,0.291050965543804,0.325799301761815,-0.0691523460428784
"Apogon_retrosella",0.0817860808329762,0.100389482841532,0.291050965543804,0.325799301761816,-0.0691523460428783
"Arothron_hispidus",0.0940957273011179,-0.118624780264433,-0.157170593467685,0.0414402136918111,-0.188967551819088
"Arothron_meleagris",0.094095727301118,-0.118624780264433,-0.157170593467685,0.0414402136918118,-0.188967551819088
"Balistes_polylepis",0.0650662146563673,-0.00576284371908464,-0.144882210710642,-0.256579714548017,-0.0721883634345847
"Bodianus_diplotaenia",0.0650662146563673,-0.00576284371908462,-0.144882210710642,-0.256579714548017,-0.0721883634345849
"Cantherhines_dumerilii",-0.0482522692797839,-0.173408208435058,-0.0603882507619575,0.0205138546127913,-0.0974529985791489
"Canthigaster_punctatissima",0.28875017697603,-0.1245926925705,-0.0372195836328936,0.0732190650781017,0.0828972196013868
"Caranx_caballus",-0.293545103393867,-0.114304956761352,-0.0796782762596461,0.0392876659096924,0.0498458843521295
"Caranx_caninus",-0.387273493798169,-0.134801112428071,-0.0714304361013205,0.0227508907507825,0.068376749967637
"Caranx_sexfasciatus",-0.482122456021824,0.225659743465227,0.0777287508711817,0.0922540947999304,-0.020408227699834
"Caranx_vinctus",-0.314801538326517,-0.152105982376454,-0.0910015575206228,0.125206287682825,0.0272177234699423
"Cephalopholis_panamensis",0.0478357806045326,0.314409287332072,-0.100542641358704,0.0631513571159518,0.0390493322270649
"Cephalopholis_colonus",-0.230436676916764,-0.244041658060088,0.0699418242521557,0.11107230433789,-0.093132981252947
"Chaetodon_humeralis",0.00313255398450607,-0.287627401241848,0.0805453389077629,0.166343007726591,-0.107230874874842
"Chromis_atrilobata",0.0113223902187134,-0.274622292572684,0.183367536734056,0.205852395643531,-0.0750139929811604
"Cirrhitichthys_oxycephalus",0.0963838832374815,-0.0661742780510706,0.00499847005666991,0.153908290533338,0.266511275433988
"Cirrhitus_rivulatus",0.0361040128663774,0.0262802836995489,-0.257239178494315,-0.0245521860111817,0.111066027569682
"Coryphopterus_urospilus",0.390177034095773,-0.0349334089220905,-0.061099549244545,-0.0847347747172596,-0.0699343873351762
"Diodon_holocanthus",0.178055301729296,0.293220614989506,0.0310783790440473,-0.128426401776453,-0.120086133357581
"Diodon_hystrix",0.178055301729296,0.293220614989506,0.0310783790440473,-0.128426401776453,-0.120086133357581
"Echidna_nebulosa",0.202110565118755,0.346576060696598,-0.00746429733662376,-0.173958220994688,-0.074067375397778
"Elagatis_bipinnulata",-0.39839988963053,-0.153000678555081,-0.139703276725488,0.0543784453150698,0.032078054897598
"Elacatinus_punticulatus",0.383042899508769,-0.0863942772936091,-0.166515585437164,0.0632911564859402,0.0356135173883089
"Epinephelus_analogus",-0.184151259214394,0.368707416139127,-0.245160753974574,-0.0331444598541967,0.0390149123327638
"Epinephelus_labriformis",-0.0907862457403954,0.32716976327063,-0.160896004095561,-0.0431056145610139,0.0441745581121299
"Fistularia_commersonii",-0.322780385139626,-0.116183816160951,-0.101726176679005,0.0227218050280344,0.0501765655997875
"Haemulon_flaviguttatum",-0.138824313191153,0.223593720435822,0.0781855777778859,0.0224828135146725,0.14957706729453
"Haemulon_maculicauda",-0.144135996784145,0.228462576673698,0.151436877236261,0.0777190886970283,0.193418550804592
"Haemulon_scudderii",-0.189928464030311,0.230108273167172,0.12122724488516,0.0248850433596999,0.173294977602756
"Haemulon_sexfasciatum",-0.182451686780051,0.232678383748531,0.0633093016677918,-0.0256846641027401,0.161420917640451
"Haemulon_steindachneri",-0.138795957656527,0.140137348221247,0.318380712166095,-0.0512391896085986,-0.17852380157596
"Halichoeres_chierchiae",0.130806183103673,-0.096449914042856,0.124138546097641,-0.102933658573108,-0.00590146640026771
"Halichoeres_dispilus",0.130806183103673,-0.096449914042856,0.124138546097641,-0.102933658573108,-0.0059014664002677
"Halichoeres_insularis",0.256595752244855,-0.12911537137792,0.175843958005378,-0.0710883850532394,0.0474995887426101
"Halichoeres_melanotis",0.160531918065825,-0.112171827368415,0.143954327098887,-0.0889405433789742,0.00618976998209885
