Human_use_level,Abudefduf_concolor,Abudefduf_declivifrons,Abudefduf_troschelii,Acanthurus_nigricans,Acanthurus_xanthopterus,Alphestes_immaculatus,Aluterus_scriptus,Anisotremus_interruptus,Arothron_hispidus,Arothron_meleagris,Balistes_polylepis,Bodianus_diplotaenia,Cantherhines_dumerilii,Canthigaster_punctatissima,Caranx_caballus,Caranx_caninus,Caranx_sexfasciatus,Caranx_vinctus,Chaetodon_humeralis,Chromis_atrilobata,Cephalopholis_colonus,Cirrhitichthys_oxycephalus,Cirrhitus_rivulatus,Diodon_holocanthus,Diodon_hystrix,Elagatis_bipinnulata,Epinephelus_analogus,Epinephelus_labriformis,Fistularia_commersonii,Haemulon_flaviguttatum,Haemulon_maculicauda,Haemulon_scudderii,Haemulon_sexfasciatum,Haemulon_steindachneri,Halichoeres_chierchiae,Halichoeres_dispilus,Halichoeres_insularis,Halichoeres_melanotis,Halichoeres_nicholsi,Halichoeres_notospilus,Holacanthus_passer,Hoplopagrus_guentherii,Johnrandallia_nigrirostris,Kyphosus_analogus,Kyphosus_elegans,Kyphosus_vaigiensis,Lutjanus_argentiventris,Lutjanus_guttatus,Lutjanus_inermis,Lutjanus_jordani,Lutjanus_novemfasciatus,Melichthys_niger,Microspathodon_bairdii,Microspathodon_dorsalis,Mugil_curema,Mulloidichthys_dentatus,Novaculichthys_taeniourus,Ophioblennius_steindachneri,Opistognathus_panamensis,Ostracion_meleagris,Oxycirrhites_typus,Pareques_viola,Plagiotremus_azaleus,Pomacanthus_zonipectus,Prionurus_laticlavius,Pseudobalistes_naufragium,Rypticus_bicolor,Scarus_compressus,Scarus_ghobban,Scarus_perrico,Scarus_rubroviolaceus,Kyphosus_ocyurus,Selar_crumenophthalmus,Serranus_psittacinus,Sphoeroides_annulatus,Sphoeroides_lobatus,Stegastes_acapulcoensis,Stegastes_flavilatus,Stegastes_leucorus,Sufflamen_verres,Synodus_lacertinus,Thalassoma_lucasanum,Trachinotus_rhodopus,Zanclus_cornutus
MPA,0.3125,7.0625,71.57440476,1.375,12.8125,0.625,1.354166667,0,2.75,118.3809524,13.95833333,369.327381,5.159722222,18.375,450.3859127,0.625,0.3125,34.6875,96.65476191,5437.452381,4.479166667,81.51984127,26.30853175,41.42460318,8.794642857,0.3125,0,54.85714286,32.83928571,5.5625,1522.440476,5.678571429,50.8452381,31.26785714,205.5416667,712.7827381,0,394.125,126.5208333,98.39186508,33.53769841,0.491071429,62.78968254,12.64880952,57.51488096,0.3125,194.6160714,37.29166667,4.375,0.3125,5.3125,3.270833333,38.375,386.5803571,2.375,224.7222222,2.625,84.59325397,2.8125,1.5625,2.875,6.604166666,60.65277778,1.5625,422.9930556,0.25,3.541666666,1.104166667,27.14583333,1.25,9.875,0,253.3333333,88.92361111,0.6875,0.125,4091.686508,639.0595238,0,39.11607143,6.854166667,8647.395833,0,3.145833333
Non-protected,0,3.979166667,47.21875,0,65.875,1.1875,0.875,0.416666667,4.8125,31.21875,4.583333333,101.8854167,1.25,8.5,44.0625,0,0,2.1875,22.0625,1984.395833,3.75,9.4375,18.625,13.75,3.208333333,0,0.3125,32.72916667,24.98958333,5.125,1333.791667,8.604166667,282.1041667,3.5625,119.9895833,229.6041667,2.1875,321.7083333,23.16666667,54.82291667,13.9375,0,65.75,26.54166667,63.5625,0,75.67708333,27.45833333,3.75,0.9375,0.833333334,0.625,6.5,174.1875,2,25.5,1.5625,59.09375,0,1.5,1.875,6.145833333,43.47916667,0,1035.822917,1.46875,1.0625,0.3125,20.84375,0,2.3125,0.3125,125,13.77083333,0,14.375,1298.645833,233.3125,0.3125,14.90625,0.25,3028.395833,0.6875,0.9375
